M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20
A	D	C	D	A	A	E	C	C	C	A	A	E	B	C	D	D	C	C	C
A	D	C	D	A	A	E	C	B	A	A	A	E	B	A	D	E	B	C	C
D	A	D	C	D	C	E	D	B	D	E	B	E	A	D	E	C	B	E	E
E	D	C	E	C	A	E	A	C	E	A	A	E	E	C	D	D	C	C	C
A	D	C	D	A	A	E	C	C	D	A	A	E	E	C	D	D	C	C	C
A	D	C	C	A	A	E	C	B	E	A	A	E	E	C	D	D	E	C	D
E	C	C	E	A	A	E	C	E	B	E	A	E	B	A	D	E	E	E	D
D	D	B	D	E	A	E	E	C	A	A	A	E	E	C	D	D	B	D	C
A	C	C	D	D	A	E	C	D	C	A	E	E	B	E	D	D	B	C	C
B	B	C	A	D	A	C	D	C	D	A	A	B	B	E	E	D	A	C	C
A	C	C	B	D	A	E	D	C	D	A	A	D	D	D	D	D	E	D	C
A	D	D	C	E	A	E	C	C	D	C	A	C	E	E	D	D	D	D	C
A	D	C	E	D	A	A	D	E	C	D	B	E	B	D	E	D	D	C	D
D	D	D	E	A	D	E	D	C	D	A	A	C	E	C	D	E	B	C	C
A	B	B	D	A	A	E	C	E	D	A	A	E	B	C	D	D	E	E	D
A	E	C	D	A	A	E	C	C	D	A	A	E	B	C	D	D	C	C	D
C	C	C	D	A	A	D	E	E	D	A	A	E	B	B	D	D	C	C	C
E	C	A	A	E	D	E	C	D	D	D	D	E	D	E	E	E	E	C	A
A	E	C	D	A	D	D	D	C	C	D	A	A	B	E	E	E	D	C	C
A	D	C	D	A	A	E	B	D	D	A	A	E	B	E	D	A	C	C	C
A	D	C	D	A	A	E	C	C	D	A	A	E	B	D	D	E	C	C	C
D	D	C	D	C	A	D	C	D	D	A	A	E	E	E	E	D	C	C	C
A	E	A	A	E	D	E	B	D	C	B	A	E	B	C	D	D	E	E	B
A	C	C	D	A	A	A	D	A	D	C	A	E	B	C	B	E	D	C	C
D	D	C	A	A	D	E	C	E	D	A	A	E	E	E	D	D	D	C	C
A	D	C	D	A	A	E	C	C	E	D	A	E	B	E	D	C	C	C	C
A	E	C	D	A	A	C	E	A	D	A	D	E	D	C	D	D	C	C	C
A	E	C	B	E	A	C	A	C	E	A	A	C	D	E	D	D	E	A	C
C	D	C	C	D	A	E	C	C	D	A	A	E	B	E	D	D	A	C	C
E	D	C	E	A	E	D	E	E	C	E	A	C	E	D	D	E	D	E	D
E	C	B	D	D	A	A	D	B	E	A	A	B	C	E	D	C	A	E	C
A	D	C	E	A	A	E	D	D	D	A	A	B	E	B	D	D	C	E	C
A	B	C	E	E	A	E	E	C	B	A	A	E	E	E	D	D	C	D	C
A	D	D	A	A	E	E	E	D	C	A	A	E	D	E	D	D	A	D	E
E	A	C	D	A	A	D	C	C	D	A	A	E	E	E	E	E	C	C	C
A	D	C	D	A	A	A	C	A	D	A	A	E	B	E	D	D	C	C	C
E	D	C	D	E	A	E	E	C	D	A	A	E	D	E	E	D	D	B	C
A	D	C	D	A	A	E	E	E	E	A	D	E	B	E	D	D	C	C	C
E	D	D	D	D	A	E	D	E	B	A	A	C	B	E	D	D	E	C	C
A	E	C	D	A	C	E	E	E	D	C	E	A	E	C	D	C	C	C	D
A	D	C	D	D	A	E	A	B	C	A	A	E	B	E	D	D	D	C	C
B	C	C	D	E	A	E	C	E	E	A	A	E	B	E	D	D	C	D	C
A	E	C	D	A	A	E	E	C	D	A	A	E	B	E	D	D	C	C	C
A	D	C	E	A	A	C	C	C	C	A	A	D	D	A	D	D	D	C	A
A	D	C	D	A	A	E	E	E	A	A	A	E	B	D	D	D	C	E	C
E	E	C	D	D	A	B	C	C	D	E	A	E	B	C	D	D	D	C	C
B	E	C	E	E	A	E	E	C	A	A	A	E	D	E	D	C	C	C	B
A	D	C	D	B	A	E	C	C	D	A	A	E	B	E	D	D	C	E	C
E	C	B	C	B	A	C	C	D	C	A	A	C	E	C	D	E	C	D	C
E	D	C	D	E	A	E	C	C	E	A	C	E	B	E	D	E	D	C	C
D	A	C	D	A	A	E	B	A	E	A	A	E	B	E	E	D	C	C	C
B	C	C	D	C	D	E	C	C	D	A	A	E	B	B	D	C	E	C	C
A	C	C	D	C	A	E	C	D	D	E	E	D	D	E	D	D	A	C	C
